Recipient Parent Name,Recipient Parent Duns,Top Words From Serv Desc,Number Of Prime Awards,Current Total Value Of Awards Usd,Potential Total Value Of Awards Usd,Remaining Total Value Of Awards Usd,Award Id Piids,First Contract Start Date,Last Contract End Date,Recipient Address Line 1,Recipient Address Line 2,Recipient City Name,Recipient State Code,Recipient State Name,Recipient Zip 4 Code,Recipient Congressional District,Recipient Phone Number,Recipient Fax Number,Analysis Date,Raw Data Download Date
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,078745061,"telecom, systems, development, analysis, housekeeping",8,532.26 M,704.81 M,172552717.57,"HSCETC09J00034, HSCETC10J00005, HSCOW5D0056, HSCETC09J00018, HSCETC09J00023, HSCETC09J00035, HSCEMS11C00005, HSCETC11J00036",2015-06-04,2015-09-24,1710 SAIC DR,,MCLEAN,VA,VIRGINIA,22102,,7036765681,7036765063,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
THE GEO GROUP INC,612706465,"guard, housekeeping, services, support, professional:",56,529.60 M,2.64 B,2111855028.5399997,"70CDCR18FR0000045, HSCEDM11J00054, 70CDCR18FR0000070, 70CDCR18FR0000052, 70CDCR18FR0000161, 70CDCR18FC0000028, 70CDCR18FR0000071, 70CDCR18FC0000011, 70CDCR18P00000084, 70CDCR18FR0000009, 70CDCR18FR0000125, HSCEDM17J00032, HSCEDM17J00024, HSCEDM17J00031, HSCEDM17J00017, HSCEDM17J00004, HSCEDM17J00018, HSCEDM17J00008, HSCEDM17F00001, HSCEDM16J00019, HSCEDM16J00052, HSCEDM16J00042, HSCEDM16J00004, HSCEDM16J00017, HSCEDM17P00027, HSCEDM17P00032, HSCEDM16P00015, HSCEDM15J00029, HSCEDM16F00001, HSCEDM15J00038, HSCEDM15J00024, HSCEDM15J00004, HSCEDM14J00031, HSCEDM15J00003, HSCEDM13J00036, HSCEDM13J00001, HSCEDM12F00004, HSCEDM12J00003, HSCEDM11F00009, HSCEDM11F00008, HSCEDM11F00004, HSCEOP07J00215, HSCEDM10J00010, HSCEDM10F00011, HSCEDM09F00012, HSCEDM08J00046, HSCEDM08J00062, HSCEOP07J00271, HSCEAB04C0001, HSCEDM11D00003, HSCEDM14A00001, HSCEDM15D00015, 70CDCR18A00000007, HSCEDM17D00009, HSCEDM12D00001, HSCEDM15D00006",2007-06-01,2029-10-11,621 NW 53RD ST STE 700,,BOCA RATON,FL,FLORIDA,334878242,22,5619997359,5619997648,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CSI AVIATION SERVICES  INC.,102793460,"travel, air, passenger, transportation, relocation",15,521.31 M,658.01 M,136701030.00000006,"HSCECR14F00009, HSCECR14F00010, HSCECR14F00015, HSCECR14F00007, HSCECR14F00008, HSCECR17F00011, HSCECR13F00017, HSCECR13F00018, HSCECR11F00012, HSCECR11F00018, HSCECR11F00025, HSCECR11F00017, HSCEOP07F00685, HSCEOP07F00508, HSCEOP07F00279",2009-10-05,2018-06-30,3700 RIO GRANDE BLVD NW,,ALBUQUERQUE,NM,NEW MEXICO,871072876,01,5057619000,5053427377,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
INGENESIS INC.,019992424,"medical, general, health, care",2,333.51 M,449.14 M,115627945.88,"70CDCR18C00000002, HSCECR12F00048",2018-08-06,2018-11-15,10231 KOTZEBUE ST,,SAN ANTONIO,TX,TEXAS,782174430,21,2103660033,2105684582,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
M V M  INC.,038049532,"support, housekeeping, guard, administrative:, translation",38,261.16 M,1.09 B,825177107.7000003,"70CMSW18FR0000058, HSCEMS17F00040, HSCEDM14J00035, 70CDCR18FR0000148, 70CDCR18FR0000087, 70CDCR18FR0000064, HSCEMD17F00214, HSCEDM17J00033, HSCEDM17F00054, HSCEDM17F00069, 70CMSW18FR0000051, HSCEDM16F00008, HSCEDM16J00038, HSCEDM16F00032, HSCEMD16F00143, HSCEDM15F00037, HSCEDM15J00053, HSCEMR16J00003, HSCEMD15J00068, HSCEDM15F00020, HSCEDM14F00030, HSCEMD14J00089, HSCEMD13J00024, HSCEMD12J00092, HSCEMR14J00002, HSCEMR13J00003, HSCEDM11F00017, HSCEDM08J00053, HSCEDM09F00003, HSCEDM08J00066, HSACL5D0001, HSCEOP06J00004, HSCEDM17D00011, HSCEDM14D00006, HSCEDM12D00007, HSCEDM17D00012, HSCEDM12D00002, HSCEMD12A00004",2010-09-20,2023-01-31,44620 GUILFORD DR STE 150,,ASHBURN,VA,VIRGINIA,201476063,10,5712234620,5712234487,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GENERAL DYNAMICS CORPORATION,001381284,"support, ammunition,, 30mm, equipment, professional:",52,248.06 M,492.40 M,244339237.48999998,"HSCEMD16F00117, HSCETC16J00002, HSCEMD15F00113, 70CMSD18FC0000015, HSCEMD14F00147, 70CMSD18FR0000211, HSCEMD13F00037, 70CMSW18P00000076, HSCETC15J00017, HSCETC17J00005, HSCETC16J00048, HSCEMD17F00098, HSCEMS14J00007, HSCEMS17P00097, HSCEMS17P00103, HSCEMD15J00072, HSCEMD12F00054, HSCEMS17J00083, HSCETE16P00028, HSCEMS15J00091, HSCEMS13J00082, HSCEMR15P00021, HSCEMR15P00022, HSCEMS13J00043, HSCEMS13J00076, HSCEMS13J00059, HSCEMS13J00015, HSCEMS12C00001, HSCEMD08F00039, HSCEMD08F00036, HSCEMD08F00027, HSCEMD08F00128, HSCEMR12F00003, HSCEOP07F01337, HSCEMD09F00143, HSCEMD09F00110, HSCEMD09F00159, HSCEMD09F00121, HSCEMD10J00162, HSCEMD10J00095, HSCEMD10J00123, HSCEMD10J00057, HSCEMD09J00190, HSCEMD09J00189, HSCEMD09P00145, HSCEMD09J00085, HSCEMD08F00153, HSCEMD08F00110, HSCEMD08F00111, HSCEMD08F00056, 70CMSD18A00000003, HSCETC11D00006",2011-04-07,2021-09-24,15036 CONFERENCE CENTER DR,,CHANTILLY,VA,VIRGINIA,201513848,10,7038761243,7038761243,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
NANA REGIONAL CORPORATION INC,079253761,"housekeeping, guard",13,245.15 M,1.17 B,927681376.4299998,"HSCEDM15J00019, 70CDCR18FR0000051, 70CDCR18FR0000158, 70CDCR18FR0000020, HSCEDM17J00016, HSCEDM17J00014, HSCEDM16J00021, HSCEDM16J00015, HSCEDM15J00009, HSCEDM14J00017, HSCEDM15D00002, HSCEDM14D00002, 70CDCR18D00000005",2016-06-21,2024-04-30,3901 OLD INTERNATIONAL AIRPORT RD STE 200-G,,ANCHORAGE,AK,ALASKA,99502,00,7037666837,7037666906,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CORRECTIONS CORPORATION OF AMERICA,159734151,"guard, housekeeping, support, services, professional:",32,241.56 M,622.75 M,381186775.36999995,"70CDCR18FR0000058, 70CDCR18FR0000017, 70CDCR18FR0000065, 70CDCR18FR0000080, 70CDCR18FC0000001, HSCEDM17J00006, HSCEDM17F00062, HSCEDM17F00058, HSCEDM17J00020, HSCEDM17J00003, HSCEDM16F00028, HSCEDM16P00019, HSCEDM16F00006, HSCEDM16J00023, HSCEDM17P00025, HSCEDM17P00031, HSCEDM15J00016, HSCEDM15F00036, HSCEDM15F00040, HSCEDM13F00062, HSCEDM14F00038, HSCEDM12F00087, HSCEDM11J00023, HSCEDM12F00005, HSCEDM10F00077, HSCEDM11P00060, HSCEDM10F00004, HSCEOP07F00471, HSCEDM09D00007, HSODT5C0003, HSCEDM17A00001, HSCEDM17D00001",2010-04-29,2019-06-30,10 BURTON HILLS BLVD,,NASHVILLE,TN,TENNESSEE,372156105,05,6152636713,6152633090,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SPECTRUM SECURITY SERVICES  INC.,618954465.0,"guard, housekeeping, services",13,192.74 M,362.80 M,170061647.44,"70CDCR18FC0000013, 70CDCR18FC0000012, 70CDCR18FR0000046, HSCECR11F00021, HSCEMD11F00175, HSCEMD11F00127, HSCEDM11J00007, HSCEDM11J00003, HSCEDM09J00004, HSCEDM09J00005, HSCENV08F00203, HSCENV08P00073, 70CDCR18A00000003",2009-12-09,2019-10-31,13967 HIGHWAY 94 STE 101,,JAMUL,CA,CALIFORNIA,919353232.0,50,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DELOITTE LLP,014127109,"support, professional:, management, program, management:",83,177.95 M,377.16 M,199207547.92999998,"70CMSW18FR0000103, 70CMSW18FC0000097, HSCEMS17F00052, HSCEMS17F00061, HSCEMS17F00045, HSCEMD16F00130, 70CMSW18FC0000114, HSCEMS16F00024, HSCEMS17F00057, HSCEMS15J00062, HSCEMS15J00137, HSCEMR17F00054, HSCEMD16F00151, HSCEMS15F00026, HSCETC15F00019, 70CDCR18FC0000014, HSCEMD15F00075, 70CMSD18FR0000159, HSCEMS15F00047, 70CDCR18P00000178, HSCEMR13F00040, HSCEMD17F00192, HSCECR15F00015, HSCEMR13F00044, HSCEMS13F00076, HSCEMS15J00010, HSCEMS15F00051, HSCEMS16F00044, HSCEMS15J00106, HSCEMS13F00027, HSCEMS17J00015, HSCEMS13F00033, HSCEMR13F00045, HSCEMS13F00058, HSCEMS13F00065, HSCEMS14J00122, HSCEMS14F00036, HSCEMD15F00162, HSCECR14F00047, HSCEMS15F00061, HSCEMS14F00026, HSCEMS14F00033, HSCEMR16F00006, HSCETC15F00006, HSCEMR15F00007, HSCEMD14F00087, HSCEMS14F00045, HSCEMS14F00072, HSCEMD15F00031, HSCEMS13F00086, HSCEMD13J00032, HSCEMD13J00031, HSCEMS14F00013, HSCETE14F00130, HSCEMS13F00026, HSCEMS12F00024, HSCEMD12F00111, HSCEMS13F00082, HSCETC09J00022, HSCEMD13J00013, HSCEMS08F00048, HSCEMS13F00011, HSCEMD08J00081, HSCEMD13F00012, HSCEMS09J00017, HSCEMR12P00022, HSCEMD09F00055, HSCEMS12F00114, HSCEMS12F00116, HSCEMS09F00042, HSCEMS12F00009, HSCEMS11F00019, HSCEMS11F00077, HSCEMS11F00102, HSCEMR11P00004, HSCEMS08JCL012, HSCEOP07F01099, HSCEMS08F00032, HSCEOP06F00715, HSCEMS14A00006, HSCEMS12A00017, HSCETC15A00002, HSCEMD10A00002",2011-08-29,2023-09-29,1919 N LYNN ST,,ARLINGTON,VA,VIRGINIA,222091742,08,5718580176,7038426748,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
